1,Malayan Krait,Ular Katam Tebu,Bungarus candidus,Elapidae,Peninsular,Terrestrial,Nocturnal,Venomous,"BCAV (Bungarus candidus Antivenom), NPAV (Neuro Polyvalent Snake Antivenom)",20831,least
2,Banded Krait,Ular Katam Belang,Bungarus fasciatus,Elapidae,"Peninsular, Borneo",Terrestrial,Nocturnal,Venomous,"BCAV (Bungarus fasciatus Antivenom), NPAV (Neuro Polyvalent Snake Antivenom)",9935,least
3,Red-headed Krait,Ular Katam Kepala Merah,Bungarus flaviceps,Elapidae,"Peninsular, Borneo",Terrestrial,Nocturnal,Venomous,NPAV (Neuro Polyvalent Snake Antivenom),9936,least
4,Blue-malayan Coral Snake,Ular Pantai Biru,Calliophis bivirgatus,Elapidae,"Peninsular, Borneo","Terrestrial,Fossorial","Nocturnal,Diurnal",Venomous,None,48553,least
5,Spotted Coral Snake,Ular Pantai Bintik,Calliophis gracilis,Elapidae,Peninsular,"Terrestrial,Fossorial","Nocturnal,Diurnal",Venomous,None,9937,deficient
6,Malayan Striped Coral Snake,Ular Pantai Belang,Calliophis intestinalis,Elapidae,"Peninsular, Borneo","Terrestrial,Fossorial","Nocturnal,Diurnal",Venomous,None,20886,least
7,Speckled Coral Snake,Ular Pantai Bintik Kecil,Calliophis maculiceps,Elapidae,"Perlis, Kedah, Perak","Terrestrial,Fossorial","Nocturnal,Diurnal",Venomous,None,20889,least
8,Banded Malaysian Coral,,Calliophis nigrotaeniatus,Elapidae,"Pahang, Borneo","Terrestrial,Fossorial","Nocturnal,Diurnal",Venomous,None,67720,not_evaluated
9,Monocled Cobra,Ular Senduk,Naja kouthia,Elapidae,"Perlis, Kedah, Perak, Selangor, Kelantan, upper Terengganu ","Terrestrial,Semi-Aquatic","Nocturnal,Diurnal",Venomous,"NKAV (Naja kaouthia Antivenom), NPAV (Neuro Polyvalent Snake Antivenom)",21355,least
10,Sumatran Spitting Cobra,Ular Senduk Sembur,Naja sumatrana,Elapidae,"Peninsular, Borneo",Terrestrial,"Nocturnal,Diurnal",Venomous,"NKAV (Naja kaouthia Antivenom), NPAV (Neuro Polyvalent Snake Antivenom)",21356,least
11,King Cobra,Ular Tedung Selar,Ophiophagus hannah,Elapidae,"Peninsular, Borneo","Terrestrial,Arboreal",Diurnal,Venomous,"OHAV (Ophiophagus hannah Antivenom), NPAV (Neuro Polyvalent Snake Antivenom)",9942,vulnerable
12,Speckled Coral Snake,Ular Rabong Perut Bintik,Rhabdophis chrysargos,Natricidae,"Peninsular, Borneo",Terrestrial,Diurnal,Undetermined,None,9927,least
13,Red-bellied Keelback,,Rhabdophis conspicillatus,Natricidae,"Peninsular, Borneo","Terrestrial,Semi-arboreal","Nocturnal,Diurnal",Non-venomous,None,9926,least
14,Orange-necked Keelback,,Rhabdophis flaviceps,Natricidae,"Peninsular, Sarawak",Semi-Aquatic,,Undetermined,None,21336,least
15,Gunung Murud Keelback,,Rhabdophis murudensis,Natricidae,Borneo,Fossorial,"Nocturnal,Diurnal",Undetermined,None,21530,least
16,Blue-necked Keelback,,Rhabdophis rhodomelas,Natricidae,"Peninsular, Borneo","Terrestrial,Fossorial","Nocturnal,Diurnal",Undetermined,None,66278,least
17,Thai Red-necked Keelback,,Rhabdophis siamensis,Natricidae,"Peninsular, Borneo","Terrestrial,Semi-arboreal","Nocturnal,Diurnal",Venomous,RTAV (Rhabdophis tigrinus Antivenom),21531,least
